"Story","Title","Result","Date","Stability","Duration (s)"
"Services CRUD test with steps","This test will create a new services and verify its generated","SUCCESS","2022-01-10T23:59:30.251Z[Europe/London]","0.0","22.67"
"Categories CRUD test with steps","This test will create a new categories and verify its generated","SUCCESS","2022-01-10T23:59:30.294Z[Europe/London]","0.0","22.63"
"Services CRUD test with steps","This test will get the services information by ID","SUCCESS","2022-01-10T23:59:53.120Z[Europe/London]","0.0","0.35"
"Categories CRUD test with steps","This test will get the categories information by ID","SUCCESS","2022-01-10T23:59:53.124Z[Europe/London]","0.0","0.33"
"Categories CRUD test with steps","This test will update the categories information and verify the updated information","SUCCESS","2022-01-10T23:59:53.467Z[Europe/London]","0.0","0.53"
"Services CRUD test with steps","This test will update the services information and verify the updated information","SUCCESS","2022-01-10T23:59:53.474Z[Europe/London]","0.0","0.52"
"Categories CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2022-01-10T23:59:53.999Z[Europe/London]","0.0","8.93"
"Services CRUD test with steps","This test will delete the categories information and verify the categories is deleted ","SUCCESS","2022-01-10T23:59:54.011Z[Europe/London]","0.0","8.94"
"Product CURD test with steps","This test will create a new products and verify its generated","SUCCESS","2022-01-11T00:00:08.705Z[Europe/London]","0.0","0.63"
"Product CURD test with steps","This test will get the product information by ID","SUCCESS","2022-01-11T00:00:09.332Z[Europe/London]","0.0","0.06"
"Product CURD test with steps","This test will update the product information and verify the updated information","FAILURE","2022-01-11T00:00:09.398Z[Europe/London]","0.0","0.27"
"Product CURD test with steps","This test will delete the product information and verify the product is deleted ","SUCCESS","2022-01-11T00:00:09.672Z[Europe/London]","0.0","0.25"
"Stores CURD test with steps","This test will create a new stores and verify its generated","SUCCESS","2022-01-11T00:00:10.343Z[Europe/London]","0.0","0.32"
"Stores CURD test with steps","This test will get the stores information by ID","SUCCESS","2022-01-11T00:00:10.665Z[Europe/London]","0.0","0.04"
"Stores CURD test with steps","This test will update the store information and verify the updated information","SUCCESS","2022-01-11T00:00:10.707Z[Europe/London]","0.0","0.36"
"Stores CURD test with steps","This test will delete the store and verify the store is deleted ","SUCCESS","2022-01-11T00:00:11.068Z[Europe/London]","0.0","0.24"
